Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	IBRoot	IBExch	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	TradeDir	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	Note
Y	2201	Brent Crude Oil@ICE	[111111111111]	1	0.05%	08:40	19:30	8	19:30	COA Comdty	LCO	COIL	IPE	10	Vwap	10	10	70	0	01:00	Y	Y	Y	Y	Y		Y	Fix EDT time
Y	2202	WTI Crude Oil@NYM	[111111111111]	1	0.05%	09:05	14:30	8	14:30	CLA Comdty	CL	CL	NYMEX	10	Vwap	10	10	70	0	09:00	Y	Y	Y	Y	Y		Y	
Y	2203	WTI Crude Oil@ICE	[111111111111]	1	0.05%	01:10	23:00	8	23:00	ENA Comdty	WTCL	WTI	IPE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	2301	Natral Gas@NYM	[111111111111]	1	0.05%	07:20	14:30	8	14:30	NGA Comdty	NG	NG	NYMEX	10	Vwap	10	10	70	0	09:00	Y	Y	Y	Y	Y		Y	
Y	2302	Natral Gas@ICE	[111111111111]	1	0.05%	07:10	17:00	8	17:00	FNA Comdty		NGF	IPE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	2401	Gasoil@ICE	[111111111111]	1	0.05%	08:40	19:30	8	16:30	QSA Comdty	LGO	GOIL	IPE	10	Vwap	10	10	70	0	01:00	Y	Y	Y	Y	Y		Y	Fix EDT time
Y	2402	Heating Oil@NYM	[111111111111]	1	0.05%	09:05	14:30	8	14:30	HOA Comdty	HO	HO	NYMEX	10	Vwap	10	10	70	0	09:00	Y	Y	Y	Y	Y		Y	
Y	2403	Gasoline RBOB@NYM	[111111111111]	1	0.05%	09:05	14:30	8	14:30	XBA Comdty	RB	RB	NYMEX	10	Vwap	10	10	70	0	09:00	Y	Y	Y	Y	Y		Y	
Y	2404	Heating Oil@ICE	[111111111111]	1	0.05%	01:10	23:00	8	23:00	NVA Comdty	LHO	HOIL	IPE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	2405	Gasoline RBOB@ICE	[111111111111]	1	0.05%	01:10	23:00	8	23:00	PGA Comdty	LRB	RBOT	IPE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	2406	Bitumen@SHF	[111111111111]	1	0.05%	13:40	15:00	8		BITA Comdty				10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	3101	10-year US Treasury@CBT	[001001001001]	1	0.01%	04:40	14:50	8	14:00	TYA Comdty	ZN	ZN	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	3102	Euro Bund@EUX	[001001001001]	1	0.01%	08:05	18:00	8	17:15	RXA Comdty	FGBL	GBL	DTB	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	3103	5-year US Treasury@CBT	[001001001001]	1	0.01%	17:10	16:00	8	14:00	FVA Comdty	ZF	ZF	ECBOT	10	Vwap	2	10	70	0		Y	Y	Y	Y	Y		Y	
Y	3104	Euro Bobl@EUX	[001001001001]	1	0.01%	08:10	22:05	8	17:15	OEA Comdty	FGBM	GBM	DTB	10	Vwap	2	10	70	0		Y	Y	Y	Y	Y		N	
N	3105	Euro Schatz@EUX	[001001001001]	1	0.01%	08:10	17:15	8		DUA Comdty	FGBS	GBS	DTB	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3106	30-year US Treasury @CBT	[001001001001]	1	0.01%	06:05	14:50	8	14:00	USA Comdty	ZB	ZB	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	3107	Long Gilt@LIF	[001001001001]	1	0.01%	08:05	18:00	8	18:00	G A Comdty	FLG	R	ICEEU	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		N	
N	3108	2-Year US Treasury@CBT	[001001001001]	1	0.01%	07:30	14:00	8		TUA Comdty	ZT	ZT	ECBOT	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3109	3-Year Australian @SFE	[001001001001]	1	0.01%	08:40	16:30	8		YMA Comdty	YTT	YT	SNFE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3110	10-Year Australian@SFE	[001001001001]	1	0.01%	08:42	16:30	8	16:30	XMA Comdty	YTC	XT	SNFE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3111	3-Year Korea@KFE	[001001001001]	1	0.01%	09:10	15:15	8		KEA Comdty	KTB	3KTB	KSE	10	Twap	2	10	70	0		Y	Y	N	N	N		N	
Y	3112	US Treasury Ultra Bond@CBT	[001001001001]	1	0.01%	07:10	14:40	8	14:00	WNA Comdty	AUL	UB	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	3113	10-year Canadian Govt Bond@MSE	[001001001001]	1	0.01%	06:05	16:00	8	16:00	CNA Comdty	CGB 	CGB	CDE	10	Vwap	10	10	70	0		Y	Y	Y	Y	N		Y	
Y	3114	5-year Canadian Govt Bond@MSE	[001001001001]	1	0.01%	06:10	16:00	8		XQA Comdty	CGF	CGF	CDE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3115	10-year Italian Govt Bond@EUX	[001001001001]	1	0.01%	08:05	19:00	8	17:15	IKA Comdty	FBTP	BTP	DTB	10	Vwap	10	10	70	0		Y	Y	N	Y	N		N	
Y	3116	French Govt Bond@EUX	[001001001001]	1	0.01%	08:05	17:15	8	17:15	OATA Comdty	FOAT	OAT	DTB	10	Vwap	10	10	70	0		Y	Y	N	N	N		N	
Y	3117	10-year Japan Govt Bond@TSE	[001001001001]	1	0.01%	08:55	15:02	8	15:02	JBA Comdty	JGB	JGB	TSEJ	10	Vwap	2	10	70	0		Y	Y	N	N	N		Y	
Y	3118	10-Year Korea Treasury Bond@KFE	[001001001001]	1	0.01%	09:10	15:15	8		KAAA Comdty	10TB	FLKTB	KSE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3119	Euro Buxl@EUX	[001001001001]	1	0.01%	08:05	22:05	8	17:15	UBA Comdty	FGBX	GBX	DTB	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y	new	N	
N	3120	3-year Italian Bond@EUX	[001001001001]	1	0.01%	08:10	19:00	8		BTSA Comdty	FBTS	BTS	DTB	10	Vwap	2	10	70	0		Y	Y	N	N	N	new	N	
N	3121	5-year Swedish Govt Bonde@PMI	[001001001001]	1	0.01%	09:10	16:00	8		SKA Comdty				10	Vwap	2	10	70	0		N	N	N	N	N		N	
N	3122	2-year Swedish @PMI	[001001001001]	1	0.01%	09:10	17:20	8		SLA Comdty				10	Vwap	2	10	70	0		N	N	N	N	N		N	
N	3124	5-year China Govt Bond@CFF	[001001001001]	1	0.01%	13:10	15:15	8		TFCA Comdty				10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	3201	USD Index@FNX	[001001001001]	1	0.01%	07:05	15:00	8	15:00	DXA Curncy	DX	DX	NYBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	3202	EUR/GBP@CME	[001001001001]	1	0.01%	03:05	14:00	8	14:00	RPA Curncy	RP	RP	GLOBEX	10	Vwap	10	10	70	0	17:00	Y	Y	N	Y	N		N	
Y	3203	EUR/JPY@CME	[001001001001]	1	0.01%	03:05	14:00	8	14:00	RYA Curncy	RY	RY	GLOBEX	10	Vwap	10	10	70	0		Y	Y	N	Y	N		N	
Y	3204	EUR/CHF@CME	[001001001001]	1	0.01%	17:10	16:00	8	16:00	RFA Curncy	RF	RF	GLOBEX	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3205	JPY/USD@CME	[001001001001]	1	0.01%	02:00	15:00	8	14:00	JYA Curncy	JY	JPY	GLOBEX	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	3206	EUR/USD@CME	[001001001001]	1	0.01%	02:05	15:00	8	14:00	ECA Curncy	URO	EUR	GLOBEX	10	Vwap	10	10	70	0	17:00	Y	Y	Y	Y	Y		Y	
Y	3207	GBP/USD@CME	[001001001001]	1	0.01%	02:05	15:00	8	14:00	BPA Curncy	BP	GBP	GLOBEX	10	Vwap	10	10	70	0	17:00	Y	Y	Y	Y	Y		Y	
Y	3208	AUD/USD@CME	[001001001001]	1	0.01%	02:05	15:00	8	14:00	ADA Curncy	AD	AUD	GLOBEX	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
