Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	RollBegin	RollEnd	StpLossPeriod	BBExch	IBRoot	IBExch	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	TradeDir	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	Note
Y	1701	Winter Wheat@CBT	[001010101001]	1	0.05%	19:00	13:20	8	13:15	W A Comdty	W	19:00	19:00	20	Vwap	10	08:35	09:25	08:35	09:25		CBT	ZW	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
Y	1703	Hard Red Wheat@CBT	[001010101001]	1	0.05%	19:00	13:20	8	13:15	KWA Comdty	KW	19:00	19:00	20	Vwap	10	08:35	09:25	08:35	09:25		CBT	KE	ECBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	1704	Strong Gluten Wheat@ZCE	[101010101010]	1	0.05%	21:00	15:00	8	15:00	VNA Comdty		21:00	21:00	12	Vwap	2	13:50	14:50	13:50	14:50		ZCE			10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	1705	Red Spring Wheat@MGE	[001010101001]	1	0.05%	19:00	13:30	8	13:14	MWA Comdty	1MWE	19:00	19:00	20	Vwap	10	08:35	09:25	08:45	09:45		MGE			10	Vwap	10	10	70	0		N	N	N	N	N		N	
Y	1706	Milling Wheat@EOP	[001010001001]	1	0.05%	10:45	18:30	8	18:30	CAA Comdty	BL2	10:45	10:45	20	Twap	10	10:50	12:05	11:05	12:05		EOP	EBM	MATIF	10	Twap	2	10	70	0		Y	Y	N	Y	N		N	before 2015/09 [101010000010]
N	2101	Coke@DCE	[100010001000]	1	0.05%	21:00	15:00	8	16:00	KEEA Comdty	DCJ	21:00	21:00	12	Vwap	2	13:50	14:50	13:50	14:50		DCE			10	Vwap	2	10	70	0		N	N	N	N	N		N	
N	2102	Coking Coal @DCE	[100010001000]	1	0.05%	21:00	15:00	8	16:00	CKCA Comdty		21:00	21:00	12	Vwap	2	13:50	14:50	13:50	14:50		DCE			10	Vwap	2	10	70	0		N	N	N	N	N		N	
N	2103	Thermal Coal@ZCE	[111111111111]	1	0.05%	21:00	15:00	8	15:00	TRCA Comdty		21:00	21:00	12	Vwap	2	13:50	14:50	13:50	14:50		ZCE			10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	2201	Brent Crude Oil@ICE	[111111111111]	1	0.05%	01:00	23:00	8	19:30	COA Comdty	LCO	01:00	01:00	20	Vwap	10	01:10	02:30	07:10	08:10	1	ICE	COIL	IPE	10	Vwap	10	10	70	0	01:00	Y	Y	Y	Y	Y		Y	Fix EDT time
Y	2202	WTI Crude Oil@NYM	[111111111111]	1	0.05%	18:00	17:00	8	14:30	CLA Comdty	CL	18:00	18:00	20	Vwap	10	08:35	09:25	01:30	02:30	3	NYM	CL	NYMEX	10	Vwap	10	10	70	0	09:00	Y	Y	Y	Y	Y		Y	
Y	2203	WTI Crude Oil@ICE	[111111111111]	1	0.05%	01:00	23:00	8	19:30	ENA Comdty	WTCL	01:00	01:00	12	Vwap	2	07:10	08:10	07:10	08:10		ICE	WTI	IPE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	2301	Natral Gas@NYM	[111111111111]	1	0.05%	18:00	17:00	8	14:30	NGA Comdty	NG	18:00	18:00	20	Vwap	10	20:00	04:10	07:10	08:10		NYM	NG	NYMEX	10	Vwap	10	10	70	0	09:00	Y	Y	Y	Y	Y		Y	
Y	2302	Natral Gas@ICE	[111111111111]	1	0.05%	07:00	17:00	8	16:15	FNA Comdty		07:00	07:00	12	Vwap	2	07:10	08:10	07:10	08:10	1	ICE	NGF	IPE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	2401	Gasoil@ICE	[111111111111]	1	0.05%	01:00	23:00	8	16:30	QSA Comdty	LGO	01:00	01:00	20	Vwap	10	01:10	02:30	07:10	08:10	1	ICE	GOIL	IPE	10	Vwap	10	10	70	0	01:00	Y	Y	Y	Y	Y		Y	Fix EDT time
Y	2402	Heating Oil@NYM	[111111111111]	1	0.05%	18:00	17:00	8	14:30	HOA Comdty	HO	18:00	18:00	20	Vwap	10	20:00	04:10	07:10	08:10		NYM	HO	NYMEX	10	Vwap	10	10	70	0	09:00	Y	Y	Y	Y	Y		Y	
Y	2403	Gasoline RBOB@NYM	[111111111111]	1	0.05%	18:00	17:00	8	14:30	XBA Comdty	RB	18:00	18:00	20	Vwap	10	08:35	09:25	07:10	08:10		NYM	RB	NYMEX	10	Vwap	10	10	70	0	09:00	Y	Y	Y	Y	Y		Y	
Y	2404	Heating Oil@ICE	[111111111111]	1	0.05%	01:00	23:00	8	19:30	NVA Comdty	LHO	01:00	01:00	12	Vwap	2	07:10	08:10	07:10	08:10		ICE	HOIL	IPE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	2405	Gasoline RBOB@ICE	[111111111111]	1	0.05%	01:00	23:00	8	19:30	PGA Comdty	LRB	01:00	01:00	12	Vwap	2	07:10	08:10	07:10	08:10	1	ICE	RBOT	IPE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	2406	Bitumen@SHF	[111111111111]	1	0.05%	21:00	15:00	8	15:00	BITA Comdty		21:00	21:00	12	Vwap	2	13:50	14:50	13:50	14:50		SHF			10	Vwap	2	10	70	0		N	N	N	N	N		N	
ToAdd	2501	ECX EMISSION@ICE	[001001001001]	1	0.05%	08:00	18:00	8	16:50	MOA Comdty		08:00	08:00	12	Vwap	10	08:00	10:00	10:00	12:00		ICE			10	Vwap	10	10	70	0									
